From	To	Species	Gene Name
Q6INA9	432147	Xenopus laevis	SET domain, bifurcated 1 L homeolog(setdb1.L)
Q9BRZ2	81844	Homo sapiens	tripartite motif containing 56(TRIM56)
Q2RIB4	3831981	Moorella thermoacetica ATCC 39073	methenyltetrahydrofolate cyclohydrolase(Moth_1516)
Q3UHN9	15531	Mus musculus	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1(Ndst1)
Q58CV6	541138	Bos taurus	kelch domain containing 3(KLHDC3)
Q5SWT3	71998	Mus musculus	solute carrier family 25, member 35(Slc25a35)
Q9A2E3	940695	Caulobacter crescentus CB15	hypothetical protein(CC_3622)
Q9UGL1	10765	Homo sapiens	lysine demethylase 5B(KDM5B)
O34942	936730	Bacillus subtilis subsp. subtilis str. 168	ATP-dependent DNA helicase RecG(recG)
O34948	939723	Bacillus subtilis subsp. subtilis str. 168	oxidoreductase(ykwC)
Q92IW1	928839	Rickettsia conorii str. Malish 7	DNA topoisomerase 4 subunit B(RC_RS01575)
O34943	937964	Bacillus subtilis subsp. subtilis str. 168	tRNA-binding protein YtpR(ytpR)
Q795M6	938846	Bacillus subtilis subsp. subtilis str. 168	aminotransferase YugH(alaT)
O02002	37729	Drosophila melanogaster	Death caspase-1(Dcp-1)
Q9EYW9	985123	Listeria monocytogenes EGD-e	glutamate decarboxylase(lmo2363)
Q9NES8	180263	Caenorhabditis elegans	Protein PHosphatase(pph-5)
F4I9Q5	842173	Arabidopsis thaliana	RNA helicase family protein(AT1G58060)
Q0VGT4	71643	Mus musculus	zinc finger, GRF-type containing 1(Zgrf1)
Q9C3Y4	2872029	Aspergillus nidulans FGSC A4	similar to AF338871_1 rho GTPase; RhoA(AN5740.2)
P60315	5937111	Physcomitrella patens	DNA-directed RNA polymerase alpha chain(PHYPADRAFT_168194)
F4HXQ7	837402	Arabidopsis thaliana	myosin-binding protein (Protein of unknown function, DUF593)(AT1G08800)
O48398	7008999	Bacillus virus SPO1	gp42(42)
Q753D3	4622201	Eremothecium gossypii ATCC 10895	AFR383Cp(AGOS_AFR383C)
Q58D65	516516	Bos taurus	tRNA methyltransferase 12 homolog(TRMT12)
Q58CU2	530941	Bos taurus	erythrocyte membrane protein band 4.1 like 5(EPB41L5)
Q9UGJ1	27229	Homo sapiens	tubulin gamma complex associated protein 4(TUBGCP4)
Q58CU3	513211	Bos taurus	HSPB1 associated protein 1(HSPBAP1)
O34952	939200	Bacillus subtilis subsp. subtilis str. 168	lipoteichoic acid synthase(yflE)
Q2LE37	692188	Sus scrofa	apolipoprotein M(APOM)
Q6INC1	432176	Xenopus laevis	tetratricopeptide repeat domain 21A L homeolog(ttc21a.L)
Q0VGT2	14633	Mus musculus	GLI-Kruppel family member GLI2(Gli2)
Q6INC8	432152	Xenopus laevis	solute carrier family 17 (vesicular glutamate transporter), member 8 L homeolog(slc17a8.L)
Q9PPZ6	876308	Ureaplasma parvum serovar 3 str. ATCC 700970	DNA primase(UU_RS02570)
Q9UGI9	53632	Homo sapiens	protein kinase AMP-activated non-catalytic subunit gamma 3(PRKAG3)
Q9BRX5	64785	Homo sapiens	GINS complex subunit 3(GINS3)
Q980A5	1455550	Sulfolobus solfataricus P2	translation initiation factor IF-2 subunit gamma(SSO_RS02065)
Q7VTB9	2664868	Bordetella pertussis Tohama I	50S ribosomal protein L5(rplE)
P60300	833300	Arabidopsis thaliana	Voltage-gated chloride channel family protein(AT5G33280)
O62179	184797	Caenorhabditis elegans	Receptor-type guanylate cyclase gcy-20(gcy-20)
A7KAM6	8317407	Penicillium rubens Wisconsin 54-1255	Pc12g12840(Pc12g12840)
P33336	853045	Saccharomyces cerevisiae S288c	beta-glucan synthesis-associated protein SKN1(SKN1)
P33332	856726	Saccharomyces cerevisiae S288c	GTP-Rho binding exocyst subunit SEC3(SEC3)
Q3UHQ6	70028	Mus musculus	dopey family member 2(Dopey2)
Q64WR0	3081693	Bacteroides fragilis YCH46	2-oxoglutarate decarboxylase(BF1316)
Q6IND6	432224	Xenopus laevis	5-hydroxymethylcytosine (hmC) binding, ES cell-specific L homeolog(hmces.L)
Q5T8R8	157983	Homo sapiens	chromosome 9 open reading frame 66(C9orf66)
Q8TCY9	55665	Homo sapiens	upregulator of cell proliferation(URGCP)
B4HS00	6608205	Drosophila sechellia	GM21049 gene product from transcript GM21049-RA(Dsec\GM21049)
B4JT42	6567215	Drosophila grimshawi	GH23451 gene product from transcript GH23451-RA(Dgri\GH23451)
P35590	7075	Homo sapiens	tyrosine kinase with immunoglobulin like and EGF like domains 1(TIE1)
Q0INW1	4351994	Oryza sativa Japonica Group	probable Ufm1-specific protease(LOC4351994)
O62169	184471	Caenorhabditis elegans	NemaTocin Receptor(ntr-2)
