Annotation Cluster 1	Enrichment Score: 3.3756304256879783												
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	
UP_SEQ_FEATURE	domain:Ig-like C2-type 12	5	1.237623762	5.84E-06	"Q6WRI0, Q96RW7, Q05793, P98160, O01761"	334	13	34272	39.46568402	0.009920183	0.004972454	0.009855399	
UP_SEQ_FEATURE	domain:Ig-like C2-type 11	5	1.237623762	5.84E-06	"Q6WRI0, Q96RW7, Q05793, P98160, O01761"	334	13	34272	39.46568402	0.009920183	0.004972454	0.009855399	
UP_SEQ_FEATURE	domain:Ig-like C2-type 10	5	1.237623762	1.10E-05	"Q6WRI0, Q96RW7, Q05793, P98160, O01761"	334	15	34272	34.20359281	0.018568168	0.006228098	0.018527005	
INTERPRO	IPR013106:Immunoglobulin V-set	11	2.722772277	1.10E-05	"Q6WRI0, Q8NDA2, A2ASS6, Q640R3, Q96RW7, P11464, Q05793, P46630, P98160, Q9HCK4, O01761"	381	178	38977	6.322023652	0.009275027	0.009275027	0.017012598	
UP_SEQ_FEATURE	domain:Ig-like C2-type 9	5	1.237623762	3.02E-05	"Q6WRI0, Q96RW7, Q05793, P98160, O01761"	334	19	34272	27.00283643	0.050302022	0.012819931	0.051008966	
UP_SEQ_FEATURE	domain:Ig-like C2-type 13	4	0.99009901	3.09E-05	"Q96RW7, Q05793, P98160, O01761"	334	7	34272	58.63473054	0.05139815	0.010497733	0.052150044	
UP_SEQ_FEATURE	domain:Ig-like C2-type 15	4	0.99009901	3.09E-05	"Q96RW7, Q05793, P98160, O01761"	334	7	34272	58.63473054	0.05139815	0.010497733	0.052150044	
UP_SEQ_FEATURE	domain:Ig-like C2-type 14	4	0.99009901	3.09E-05	"Q96RW7, Q05793, P98160, O01761"	334	7	34272	58.63473054	0.05139815	0.010497733	0.052150044	
SMART	SM00406:IGv	9	2.227722772	4.01E-05	"Q6WRI0, Q8NDA2, A2ASS6, Q96RW7, Q05793, P46630, P98160, Q9HCK4, O01761"	218	106	18177	7.079496278	0.007951582	0.003983726	0.050229128	
UP_SEQ_FEATURE	domain:Ig-like C2-type 8	5	1.237623762	7.98E-05	"Q6WRI0, Q96RW7, Q05793, P98160, O01761"	334	24	34272	21.37724551	0.127306755	0.022439596	0.134525834	
INTERPRO	IPR003599:Immunoglobulin subtype	16	3.96039604	2.08E-04	"Q6WRI0, Q15262, Q8NDA2, A2ASS6, Q640R3, Q96RW7, Q9U3P2, P11464, O01761, Q28740, Q8JGT4, Q05793, P98160, P46630, Q9HCK4, Q66K08"	381	519	38977	3.153813866	0.161232215	0.04300331	0.320512745	
UP_KEYWORDS	Immunoglobulin domain	17	4.207920792	2.13E-04	"Q6WRI0, Q15262, Q8NDA2, A2ASS6, Q640R3, Q96RW7, P11464, Q9U3P2, O01761, Q28740, Q8JGT4, Q9GMT4, Q05793, P98160, P46630, Q9HCK4, Q66K08"	404	571	40789	3.005899846	0.066351731	0.017017414	0.286824348	
INTERPRO	IPR013783:Immunoglobulin-like fold	23	5.693069307	2.26E-04	"Q6WRI0, O75382, Q15262, Q8NDA2, A2ASS6, Q640R3, Q96RW7, D2GXS7, P11464, Q9U3P2, O01761, Q9VEN1, Q28740, Q8JGT4, Q9GMT4, Q9C026, E7FAM5, Q05793, P46630, P98160, Q9HCK4, Q66K08, Q9HCM2"	381	962	38977	2.445885922	0.174515344	0.03763061	0.349561896	
UP_SEQ_FEATURE	domain:Ig-like C2-type 19	3	0.742574257	2.81E-04	"Q96RW7, P98160, O01761"	334	3	34272	102.6107784	0.380591225	0.058116543	0.472401534	
UP_SEQ_FEATURE	domain:Ig-like C2-type 18	3	0.742574257	2.81E-04	"Q96RW7, P98160, O01761"	334	3	34272	102.6107784	0.380591225	0.058116543	0.472401534	
UP_SEQ_FEATURE	domain:Ig-like C2-type 20	3	0.742574257	2.81E-04	"Q96RW7, P98160, O01761"	334	3	34272	102.6107784	0.380591225	0.058116543	0.472401534	
UP_SEQ_FEATURE	domain:Ig-like C2-type 21	3	0.742574257	2.81E-04	"Q96RW7, P98160, O01761"	334	3	34272	102.6107784	0.380591225	0.058116543	0.472401534	
UP_SEQ_FEATURE	domain:Ig-like C2-type 22	3	0.742574257	2.81E-04	"Q96RW7, P98160, O01761"	334	3	34272	102.6107784	0.380591225	0.058116543	0.472401534	
INTERPRO	IPR007110:Immunoglobulin-like domain	17	4.207920792	2.83E-04	"Q6WRI0, Q15262, Q8NDA2, A2ASS6, Q640R3, Q96RW7, P11464, Q9U3P2, O01761, Q28740, Q8JGT4, Q9GMT4, Q05793, P98160, P46630, Q9HCK4, Q66K08"	381	595	38977	2.922909636	0.213417977	0.033712663	0.437356671	
INTERPRO	IPR013098:Immunoglobulin I-set	11	2.722772277	5.39E-04	"Q6WRI0, Q15262, Q8NDA2, A2ASS6, Q8JGT4, Q96RW7, Q9U3P2, Q05793, P98160, Q9HCK4, O01761"	381	285	38977	3.948491965	0.366429186	0.044612585	0.829835922	
UP_SEQ_FEATURE	domain:Ig-like C2-type 17	3	0.742574257	5.58E-04	"Q96RW7, P98160, O01761"	334	4	34272	76.95808383	0.614011585	0.100370252	0.936664564	
INTERPRO	IPR003598:Immunoglobulin subtype 2	13	3.217821782	5.62E-04	"Q6WRI0, Q8NDA2, A2ASS6, Q640R3, Q8JGT4, Q96RW7, Q9U3P2, P11464, Q05793, P98160, Q9HCK4, Q66K08, O01761"	381	395	38977	3.36689591	0.378592466	0.042329639	0.864929913	
UP_SEQ_FEATURE	domain:Ig-like C2-type 7	5	1.237623762	7.32E-04	"Q6WRI0, Q96RW7, Q05793, P98160, O01761"	334	42	34272	12.21556886	0.713617592	0.117540803	1.228541297	
UP_SEQ_FEATURE	domain:Ig-like C2-type 16	3	0.742574257	0.001375938	"Q96RW7, P98160, O01761"	334	6	34272	51.30538922	0.904663511	0.177874228	2.296721547	
SMART	SM00409:IG	16	3.96039604	0.001478872	"Q6WRI0, Q15262, Q8NDA2, A2ASS6, Q640R3, Q96RW7, Q9U3P2, P11464, O01761, Q28740, Q8JGT4, Q05793, P98160, P46630, Q9HCK4, Q66K08"	218	519	18177	2.570504322	0.255106008	0.057201475	1.836391386	
SMART	SM00408:IGc2	13	3.217821782	0.002919796	"Q6WRI0, Q8NDA2, A2ASS6, Q640R3, Q8JGT4, Q96RW7, Q9U3P2, P11464, Q05793, P98160, Q9HCK4, Q66K08, O01761"	218	395	18177	2.744176054	0.441158513	0.092427266	3.595766981	
UP_SEQ_FEATURE	domain:Ig-like C2-type 3	8	1.98019802	0.003970049	"Q6WRI0, Q96RW7, P11464, Q05793, P46630, P98160, Q9HCK4, O01761"	334	204	34272	4.023952096	0.998875438	0.38431871	6.492478867	
UP_SEQ_FEATURE	domain:Ig-like C2-type 5	6	1.485148515	0.004654781	"Q6WRI0, Q96RW7, Q05793, P98160, Q9HCK4, O01761"	334	111	34272	5.546528564	0.999652331	0.411954359	7.571357405	
UP_SEQ_FEATURE	domain:Ig-like C2-type 6	5	1.237623762	0.005101573	"Q6WRI0, Q96RW7, Q05793, P98160, O01761"	334	71	34272	7.226111158	0.999838447	0.42054495	8.269009298	
UP_SEQ_FEATURE	domain:Ig-like C2-type 4	6	1.485148515	0.011741815	"Q6WRI0, Q96RW7, Q05793, P98160, Q9HCK4, O01761"	334	139	34272	4.429242235	0.999999998	0.653942928	18.07096765	
UP_SEQ_FEATURE	domain:Ig-like C2-type 1	8	1.98019802	0.018901822	"Q6WRI0, Q96RW7, P11464, Q05793, P46630, P98160, Q9HCK4, O01761"	334	276	34272	2.974225462	1	0.772509673	27.53186438	
UP_SEQ_FEATURE	domain:Ig-like C2-type 2	8	1.98019802	0.019239941	"Q6WRI0, Q96RW7, P11464, Q05793, P46630, P98160, Q9HCK4, O01761"	334	277	34272	2.963488186	1	0.763511036	27.95216727	
GOTERM_CC_DIRECT	GO:0005604	basement membrane	5	1.237623762	0.078935628	"Q8NDA2, Q96RW7, Q05793, P98160, Q9Z339"	364	156	35106	3.091187658	1	0.845761677	67.37928804
UP_KEYWORDS	Basement membrane	3	0.742574257	0.125311579	"Q96RW7, Q05793, P98160"	404	62	40789	4.885300224	1	0.660792049	83.62288045	
													
Annotation Cluster 2	Enrichment Score: 2.6854357197087233												
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	
INTERPRO	IPR000742:Epidermal growth factor-like domain	18	4.455445545	1.62E-05	"Q8NDA2, Q6V0K7, P98157, Q501P1, A0JM12, Q8N2E2, Q96RW7, Q63415, P0C6B8, Q6R8J2, Q92824, Q5ND28, Q9VYN8, Q6DFV8, A1XQX0, Q05793, O88281, P98160"	381	518	38977	3.554890098	0.013592725	0.006819616	0.024985686	
SMART	SM00181:EGF	18	4.455445545	3.20E-05	"Q8NDA2, Q6V0K7, P98157, Q501P1, A0JM12, Q8N2E2, Q96RW7, Q63415, P0C6B8, Q6R8J2, Q92824, Q5ND28, Q9VYN8, Q6DFV8, A1XQX0, Q05793, O88281, P98160"	218	452	18177	3.320471706	0.006344042	0.006344042	0.040044153	
UP_KEYWORDS	EGF-like domain	17	4.207920792	8.79E-05	"Q8NDA2, Q6V0K7, P98157, A0JM12, Q501P1, Q8N2E2, Q96RW7, P0C6B8, Q6R8J2, P25291, Q5ND28, Q9VYN8, Q6DFV8, A1XQX0, Q05793, O88281, P98160"	404	528	40789	3.250698507	0.027981647	0.009415591	0.118666444	
INTERPRO	"IPR009030:Insulin-like growth factor binding protein, N-terminal"	12	2.97029703	1.08E-04	"Q92824, Q8NDA2, Q5ND28, P0CY46, P98157, Q8N2E2, Q63415, Q96RW7, P0C6B8, P18406, Q6DFV8, O88281"	381	280	38977	4.384364454	0.087608712	0.030099812	0.16726754	
INTERPRO	IPR001881:EGF-like calcium-binding	12	2.97029703	2.83E-04	"Q8NDA2, Q6V0K7, P98157, Q501P1, Q8N2E2, Q96RW7, P0C6B8, Q6DFV8, Q6R8J2, O88281, Q05793, P98160"	381	313	38977	3.922115167	0.213234819	0.039182609	0.436933419	
INTERPRO	"IPR013032:EGF-like, conserved site"	14	3.465346535	3.54E-04	"Q8NDA2, P98157, A0JM12, Q501P1, Q96RW7, Q8N2E2, P0C6B8, Q6R8J2, Q5ND28, Q9VYN8, Q6DFV8, O88281, Q05793, P98160"	381	430	38977	3.330757493	0.258804701	0.036744312	0.545340297	
SMART	SM00179:EGF_CA	12	2.97029703	0.001396606	"Q8NDA2, Q6V0K7, P98157, Q501P1, Q8N2E2, Q96RW7, P0C6B8, Q6DFV8, Q6R8J2, O88281, Q05793, P98160"	218	313	18177	3.196705455	0.242793237	0.067167602	1.735058645	
INTERPRO	"IPR018097:EGF-like calcium-binding, conserved site"	9	2.227722772	0.00267309	"Q8NDA2, P98157, Q501P1, Q8N2E2, Q96RW7, P0C6B8, Q6DFV8, Q6R8J2, O88281"	381	241	38977	3.820400562	0.896391787	0.149506472	4.05499934	
GOTERM_MF_DIRECT	GO:0005509	calcium ion binding	22	5.445544554	0.002808378	"Q8N987, Q8NDA2, Q6V0K7, A2ASS6, P98157, Q501P1, Q8N2E2, Q96RW7, P0C6B8, Q6R8J2, Q06AT0, P55281, A8K855, Q3LGD4, E9Q7P9, B3A0Q5, Q6DFV8, Q05793, O88281, Q32L26, P98160, Q5R8Z6"	332	1084	33537	2.050121149	0.726508203	0.477035568	3.924522323
UP_SEQ_FEATURE	domain:EGF-like 2; calcium-binding	6	1.485148515	0.011741815	"P98157, Q501P1, Q96RW7, P0C6B8, Q6R8J2, O88281"	334	139	34272	4.429242235	0.999999998	0.653942928	18.07096765	
INTERPRO	IPR026823:Complement Clr-like EGF domain	4	0.99009901	0.015802116	"Q8NDA2, P98157, Q96RW7, O88281"	381	54	38977	7.577913872	0.999998617	0.404822149	21.83384512	
INTERPRO	IPR000152:EGF-type aspartate/asparagine hydroxylation site	7	1.732673267	0.032059211	"Q8NDA2, P98157, Q501P1, Q96RW7, P0C6B8, Q6R8J2, O88281"	381	242	38977	2.959144053	1	0.555912626	39.58433736	
UP_SEQ_FEATURE	domain:EGF-like 1; calcium-binding	3	0.742574257	0.060226561	"Q501P1, Q96RW7, O88281"	334	41	34272	7.50810574	1	0.919908872	64.94392841	
UP_SEQ_FEATURE	domain:EGF-like 5; calcium-binding	3	0.742574257	0.15503018	"Q96RW7, P0C6B8, O88281"	334	72	34272	4.275449102	1	0.986319927	94.17309523	
UP_SEQ_FEATURE	domain:EGF-like 3; calcium-binding	3	0.742574257	0.182585515	"Q501P1, Q96RW7, P0C6B8"	334	80	34272	3.847904192	1	0.989833127	96.66991299	
													
Annotation Cluster 3	Enrichment Score: 2.478973398216765												
