From	To	Species	Gene Name
A7MJM9	5548768	Cronobacter sakazakii ATCC BAA-894	DNA gyrase inhibitor(ESA_RS05540)
O62640	397374	Sus scrofa	inhibitor of apoptosis-like(PIAP)
A5PMX1	327439	Danio rerio	"solute carrier family 30 (zinc transporter), member 7(slc30a7)"
P40241	24936	Rattus norvegicus	CD9 molecule(Cd9)
P19579	3361855	Bacillus anthracis	pXO2-56(pxo2_56)
Q24K15	617915	Bos taurus	angiopoietin 4(ANGPT4)
Q8IVG5	219285	Homo sapiens	sterile alpha motif domain containing 9 like(SAMD9L)
A6U899	5321871	Sinorhizobium medicae WSM419	lipoate-protein ligase B(lipB)
Q92TE9	1231629	Sinorhizobium meliloti 1021	dephospho-CoA kinase(coaE)
Q9C3Y4	2872029	Aspergillus nidulans FGSC A4	similar to AF338871_1 rho GTPase; RhoA(AN5740.2)
Q5RJ80	407729	Danio rerio	caprin family member 2(caprin2)
Q923M0	73062	Mus musculus	"protein phosphatase 1, regulatory (inhibitor) subunit 16A(Ppp1r16a)"
Q7TQ62	242608	Mus musculus	podocan(Podn)
P13993	547830	Glycine max	repetitive proline-rich protein(PRP2)
Q8R0W1	217732	Mus musculus	"CLOCK interacting protein, circadian(Cipc)"
Q7SXN4	393956	Danio rerio	cytoplasmic polyadenylation element binding protein 4(cpeb4)
Q0CL68	4320977	Aspergillus terreus NIH2624	hypothetical protein(ATEG_05566)
Q60737	12995	Mus musculus	"casein kinase 2, alpha 1 polypeptide(Csnk2a1)"
O95881	51060	Homo sapiens	thioredoxin domain containing 12(TXNDC12)
Q9EQU5	56086	Mus musculus	SET nuclear oncogene(Set)
B3STU3	362196	Rattus norvegicus	ChaC glutathione-specific gamma-glutamylcyclotransferase 1(Chac1)
Q6P7A9	367562	Rattus norvegicus	"glucosidase, alpha, acid(Gaa)"
Q6P1C1	75678	Mus musculus	"inositol 1,3,4,5,6-pentakisphosphate 2-kinase(Ippk)"
B4NZ70	6527986	Drosophila yakuba	GE26285 gene product from transcript GE26285-RC(Dyak\GE26285)
Q9UBW7	7750	Homo sapiens	zinc finger MYM-type containing 2(ZMYM2)
Q3KQV9	91373	Homo sapiens	UDP-N-acetylglucosamine pyrophosphorylase 1 like 1(UAP1L1)
Q9C6W5	840064	Arabidopsis thaliana	ATP-binding cassette 14(ABCG14)
P24524	114516	Rattus norvegicus	"glycine receptor, alpha 3(Glra3)"
Q49A88	64770	Homo sapiens	coiled-coil domain containing 14(CCDC14)
Q6PAD2	398770	Xenopus laevis	polo-like kinase 4 L homeolog(plk4.L)
Q0V340	5969056	Parastagonospora nodorum SN15	hypothetical protein(SNOG_01574)
Q9JJ80	67239	Mus musculus	ribosome production factor 2 homolog(Rpf2)
P0CT41	2538755	Schizosaccharomyces pombe 972h-	retrotransposable element(Tf2-12)
Q5R8Z6	100174341	Pongo abelii	multiple coagulation factor deficiency 2(MCFD2)
O75382	10612	Homo sapiens	tripartite motif containing 3(TRIM3)
Q5TZ24	570584	Danio rerio	"monooxygenase, DBH-like 1(moxd1)"
Q5EAN7	307861	Rattus norvegicus	TERF2 interacting protein(Terf2ip)
P27822	100328620	Oryctolagus cuniculus	pepsinogen III(LOC100328620)
Q5ZMW5	396113	Gallus gallus	Rho GTPase activating protein 26(ARHGAP26)
Q9EP89	80907	Mus musculus	"lactamase, beta(Lactb)"
Q6P5P5	58827	Rattus norvegicus	mesoderm specific transcript(Mest)
Q8VHI4	241066	Mus musculus	calcium response factor(Carf)
P07550	154	Homo sapiens	adrenoceptor beta 2(ADRB2)
P51191	809814	Porphyra purpurea	hypothetical chloroplast ORF 37(ycf37)
Q6NQ64	828842	Arabidopsis thaliana	Met-10+ like family protein(AT4G27340)
Q6P8C4	394586	Xenopus tropicalis	NHP2 ribonucleoprotein(nhp2)
Q6QN14	391622	Homo sapiens	"ubiquitin specific peptidase 17-like family member 6, pseudogene(USP17L6P)"
Q641Z2	266611	Rattus norvegicus	"protein tyrosine phosphatase, non-receptor type 9(Ptpn9)"
Q6GQJ2	443866	Xenopus laevis	jade family PHD finger 1 S homeolog(jade1.S)
A5WWB0	100148916	Danio rerio	ubiquitin specific peptidase 46(usp46)
Q8I480	812859	Plasmodium falciparum 3D7	"conserved Plasmodium protein, unknown function(PFE0100w)"
Q13530	10955	Homo sapiens	serine incorporator 3(SERINC3)
Q9CWY4	69731	Mus musculus	gem (nuclear organelle) associated protein 7(Gemin7)
Q86TM6	84447	Homo sapiens	synoviolin 1(SYVN1)
P28024	380584	Xenopus laevis	proteasome subunit beta 4 L homeolog(psmb4.L)
Q5ZIM6	417653	Gallus gallus	apoptosis antagonizing transcription factor(AATF)
P00732	510039	Bos taurus	carboxypeptidase B1(CPB1)
A8MT70	79740	Homo sapiens	zinc finger B-box domain containing(ZBBX)
Q99315	853006	Saccharomyces cerevisiae S288c	gag-pol fusion protein(YGR109W-B)
B2JGA0	27742138	Paraburkholderia phymatum STM815	protein TolB(BPHY_RS12450)
Q58559	1452057	Methanocaldococcus jannaschii DSM 2661	replication protein A(MJ_RS06195)
Q5XIY2	449652	Danio rerio	transmembrane protein 56b(tmem56b)
P34709	174137	Caenorhabditis elegans	Sex-determining transformer protein 2(tra-2)
Q3KPT0	733378	Xenopus laevis	coiled-coil domain containing 169 S homeolog(ccdc169.S)
Q501P1	70370	Mus musculus	fibulin 7(Fbln7)
Q8BV66	99899	Mus musculus	interferon-induced protein 44(Ifi44)
Q9C0X8	2543238	Schizosaccharomyces pombe 972h-	ribosome biogenesis protein Rrp12 (predicted)(SPAPB8E5.07c)
Q0VAA2	145497	Homo sapiens	leucine rich repeat containing 74A(LRRC74A)
Q9FFL1	830446	Arabidopsis thaliana	Amino acid permease family protein(RMV1)
Q5I2E5	497016	Bos taurus	ficolin 1(FCN1)
P0CT37	2542672	Schizosaccharomyces pombe 972h-	retrotransposable element(Tf2-4)
Q90875	373916	Gallus gallus	"aconitase 1, soluble(ACO1)"
Q5ZL67	417987	Gallus gallus	"nuclear factor, erythroid 2 like 1(NFE2L1)"
Q9HCD6	26115	Homo sapiens	"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2(TANC2)"
P57078	54101	Homo sapiens	receptor interacting serine/threonine kinase 4(RIPK4)
P48806	378587	Xenopus laevis	"fibroblast growth factor 4 (heparin secretory transforming protein 1, Kaposi sarcoma oncogene) S homeolog(fgf4.S)"
O88281	65049	Rattus norvegicus	multiple EGF-like-domains 6(Megf6)
P24534	1933	Homo sapiens	eukaryotic translation elongation factor 1 beta 2(EEF1B2)
Q4P2U5	23565423	Ustilago maydis 521	putative general chromatin factor(UMAG_05568)
Q60787	16822	Mus musculus	lymphocyte cytosolic protein 2(Lcp2)
Q9UGM3	1755	Homo sapiens	deleted in malignant brain tumors 1(DMBT1)
Q3V1H9	320825	Mus musculus	sterile alpha motif domain containing 5(Samd5)
Q6ZN16	389840	Homo sapiens	mitogen-activated protein kinase kinase kinase 15(MAP3K15)
Q640R3	72927	Mus musculus	hepatocyte cell adhesion molecule(Hepacam)
Q9XUC2	189055	Caenorhabditis elegans	Intraflagellar transport associated protein 2(ifta-2)
Q8GYP8	842116	Arabidopsis thaliana	Protein with RNI-like/FBD-like domain(AT1G56610)
P37474	936653	Bacillus subtilis subsp. subtilis str. 168	transcription-repair-coupling factor(mfd)
Q6BH66	2905404	Debaryomyces hansenii CBS767	DEHA2G20988p(DEHA2G20988g)
Q91YK0	102747	Mus musculus	leucine rich repeat containing 49(Lrrc49)
Q80YD3	277773	Mus musculus	"family with sequence similarity 205, member C(Fam205c)"
P0CY46	100577393	Apis mellifera	epidermal growth factor receptor-like(LOC100577393)
Q3UNX5	20216	Mus musculus	acyl-CoA synthetase medium-chain family member 3(Acsm3)
Q9C026	114088	Homo sapiens	tripartite motif containing 9(TRIM9)
Q460N5	54625	Homo sapiens	poly(ADP-ribose) polymerase family member 14(PARP14)
Q568D2	550471	Danio rerio	cilia and flagella associated protein 161(cfap161)
O95714	8924	Homo sapiens	HECT and RLD domain containing E3 ubiquitin protein ligase 2(HERC2)
Q9Y3C5	26994	Homo sapiens	ring finger protein 11(RNF11)
Q58539	1452035	Methanocaldococcus jannaschii DSM 2661	ribonuclease P(MJ_RS06080)
Q9Z339	114846	Rattus norvegicus	glutathione S-transferase omega 1(Gsto1)
P81556	680130	Rattus norvegicus	tissue inhibitor of metalloproteinase 4(Timp4)
Q9Y091	36527	Drosophila melanogaster	female lethal d(fl(2)d)
P00178	100327257	Oryctolagus cuniculus	"cytochrome P450, family 2, subfamily b, polypeptide 4(CYP2B4)"
P54308	955254	Bacillus phage SPP1	hypothetical protein(SPP1p003)
Q6UWW9	131920	Homo sapiens	transmembrane protein 207(TMEM207)
Q9H0K4	81492	Homo sapiens	radial spoke head 6 homolog A(RSPH6A)
P02190	780509	Ovis aries	myoglobin(MB)
P25291	442972	Canis lupus familiaris	glycoprotein 2(GP2)
Q9RTK1	1799172	Deinococcus radiodurans R1	tRNA-specific 2-thiouridylase MnmA(mnmA)
Q5JTW2	84131	Homo sapiens	centrosomal protein 78(CEP78)
B3A0Q5	20248310	Lottia gigantea	hypothetical protein(LOTGIDRAFT_230492)
P50416	1374	Homo sapiens	carnitine palmitoyltransferase 1A(CPT1A)
Q5UAW9	80045	Homo sapiens	G protein-coupled receptor 157(GPR157)
O35460	89807	Rattus norvegicus	angiopoietin 1(Angpt1)
Q01082	6711	Homo sapiens	"spectrin beta, non-erythrocytic 1(SPTBN1)"
Q9VZZ9	38321	Drosophila melanogaster	daughter of sevenless(dos)
Q0D2K2	377007	Homo sapiens	kelch like family member 30(KLHL30)
Q51IZ9	2680874	Magnaporthe oryzae 70-15	autophagy-like protein 22(MGG_09904)
Q658L1	283726	Homo sapiens	stabilizer of axonemal microtubules 2(SAXO2)
Q9LY87	831293	Arabidopsis thaliana	RING domain ligase2(RGLG2)
P39109	851713	Saccharomyces cerevisiae S288c	ATP-binding cassette glutathione S-conjugate transporter YCF1(YCF1)
P70248	17916	Mus musculus	myosin IF(Myo1f)
D4A7U2	301446	Rattus norvegicus	calcium responsive transcription factor(Carf)
E2JF22	234839	Mus musculus	piezo-type mechanosensitive ion channel component 1(Piezo1)
Q9PMT4	905659	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	glucosamine--fructose-6-phosphate aminotransferase(glmS)
Q24498	49090	Drosophila melanogaster	Ryanodine receptor(RyR)
Q95JK3	102125930	Macaca fascicularis	spermatid associated(SPERT)
Q80U59	320661	Mus musculus	"DNA segment, Chr 5, ERATO Doi 579, expressed(D5Ertd579e)"
Q9LIR0	821981	Arabidopsis thaliana	F-box family protein(AT3G23970)
Q4ZJM9	239659	Mus musculus	"complement component 1, q subcomponent-like 4(C1ql4)"
Q8WYP5	25909	Homo sapiens	AT-hook containing transcription factor 1(AHCTF1)
Q16534	3131	Homo sapiens	"HLF, PAR bZIP transcription factor(HLF)"
F4KD38	834550	Arabidopsis thaliana	nuclear RNA polymerase C2(NRPC2)
Q5R573	100174708	Pongo abelii	"RAB, member of RAS oncogene family-like 2B(RABL2B)"
Q15262	5796	Homo sapiens	"protein tyrosine phosphatase, receptor type K(PTPRK)"
Q96RW7	83872	Homo sapiens	hemicentin 1(HMCN1)
D2GXS7	100468144	Ailuropoda melanoleuca	tripartite motif containing 2(TRIM2)
Q9Z1J2	23955	Mus musculus	NIMA (never in mitosis gene a)-related expressed kinase 4(Nek4)
Q6IP19	432211	Xenopus laevis	transmembrane protein 47 L homeolog(tmem47.L)
P30975	43551	Drosophila melanogaster	Tachykinin-like receptor at 99D(TkR99D)
P30974	41286	Drosophila melanogaster	Tachykinin-like receptor at 86C(TkR86C)
Q8KAH6	1007373	Chlorobium tepidum TLS	30S ribosomal protein S19(rpsS)
Q9VZW5	38357	Drosophila melanogaster	FMRFamide Receptor(FMRFaR)
Q9LG11	842048	Arabidopsis thaliana	histone acetyltransferase of the CBP family 4(HAC4)
Q17QH9	513272	Bos taurus	IQ motif containing D(IQCD)
Q4L5Q6	24248238	Staphylococcus haemolyticus JCSC1435	orotidine 5'-phosphate decarboxylase(SH_RS08335)
Q8TDB6	151636	Homo sapiens	deltex E3 ubiquitin ligase 3L(DTX3L)
Q61037	22084	Mus musculus	tuberous sclerosis 2(Tsc2)
Q63184	54287	Rattus norvegicus	eukaryotic translation initiation factor 2-alpha kinase 2(Eif2ak2)
Q8AVG0	379901	Xenopus laevis	active BCR-related L homeolog(abr.L)
Q8K3K9	286938	Rattus norvegicus	"GTPase, IMAP family member 4(Gimap4)"
Q6F1D3	2898012	Mesoplasma florum L1	endonuclease IV(Mfl333)
O54190	1101403	Streptomyces coelicolor A3(2)	cobalt transport protein CbiM(SCO5961)
Q0WQ91	832861	Arabidopsis thaliana	WPP domain protein 3(WPP3)
Q9DAD0	75504	Mus musculus	RIKEN cDNA 1700013F07 gene(1700013F07Rik)
P71359	949757	Haemophilus influenzae Rd KW20	ATP-dependent DNA helicase(recQ)
Q5URB5	9924787	Acanthamoeba polyphaga mimivirus	hypothetical protein(L185)
Q32L26	505272	Bos taurus	EF-hand calcium binding domain 1(EFCAB1)
B8E0T7	7081752	Dictyoglomus turgidum DSM 6724	septum formation inhibitor MinC(Dtur_1400)
Q7Z5L3	165257	Homo sapiens	complement C1q like 2(C1QL2)
Q95KI1	101867361	Macaca fascicularis	TBC1 domain family member 22A(TBC1D22A)
Q16974	100533518	Aplysia californica	protein kinase C I(PRKC)
A6QR55	508042	Bos taurus	ubiquitin specific peptidase 4(USP4)
Q16975	100533493	Aplysia californica	protein kinase C II(PRKC)
Q5U3U0	492804	Danio rerio	phytanoyl-CoA dioxygenase domain containing 1(phyhd1)
Q8N2E2	221806	Homo sapiens	von Willebrand factor D and EGF domains(VWDE)
Q8DZL4	1013891	Streptococcus agalactiae 2603V/R	guanosine 5'-monophosphate oxidoreductase(guaC)
A5D6U8	571830	Danio rerio	iron/zinc purple acid phosphatase-like protein(papl)
Q06AT0	100144506	Sus scrofa	hippocalcin-like 1(HPCAL1)
Q92824	5125	Homo sapiens	proprotein convertase subtilisin/kexin type 5(PCSK5)
Q9SUH5	829194	Arabidopsis thaliana	QWRF motif protein (DUF566)(QWRF8)
B4PSS5	6537301	Drosophila yakuba	GE26445 gene product from transcript GE26445-RA(Dyak\GE26445)
Q9GMT4	102124881	Macaca fascicularis	MAM domain containing glycosylphosphatidylinositol anchor 2(MDGA2)
A1XQX0	565531	Danio rerio	neurexin 1a(nrxn1a)
Q9HCK4	6092	Homo sapiens	roundabout guidance receptor 2(ROBO2)
Q6WRI0	285313	Homo sapiens	immunoglobulin superfamily member 10(IGSF10)
Q53G44	10964	Homo sapiens	interferon induced protein 44 like(IFI44L)
Q16878	1036	Homo sapiens	cysteine dioxygenase type 1(CDO1)
Q6NVF0	320634	Mus musculus	oculocerebrorenal syndrome of Lowe(Ocrl)
P30622	6249	Homo sapiens	CAP-Gly domain containing linker protein 1(CLIP1)
O75529	27097	Homo sapiens	TATA-box binding protein associated factor 5 like(TAF5L)
F1M5M3	287603	Rattus norvegicus	"testis expressed 14, intercellular bridge forming factor(Tex14)"
P79110	282476	Bos taurus	solute carrier family 25 member 1(SLC25A1)
Q8R1J3	69085	Mus musculus	"zinc finger, CCHC domain containing 9(Zcchc9)"
P26599	5725	Homo sapiens	polypyrimidine tract binding protein 1(PTBP1)
P79102	282214	Bos taurus	"cytochrome P450, subfamily IIIA (niphedipine oxidase), polypeptide 4(CYP3A5)"
O45539	173296	Caenorhabditis elegans	Tyrosine protein-kinase src-2(src-2)
Q5E9E1	614675	Bos taurus	PDZ and LIM domain 1(PDLIM1)
P18293	18160	Mus musculus	natriuretic peptide receptor 1(Npr1)
Q8BKX6	233789	Mus musculus	"SMG1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)(Smg1)"
Q5ZW89	19832762	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	imidazole glycerol-phosphate dehydratase/histidinol phosphatase(lpg1197)
Q05AL1	571528	Danio rerio	armadillo repeat containing 8(armc8)
Q5MY90	496397	Xenopus laevis	reticulon 1 S homeolog(rtn1.S)
Q059U7	380614	Mus musculus	inturned planar cell polarity protein(Intu)
Q9W062	38256	Drosophila melanogaster	Microfibril-associated protein 1(Mfap1)
Q59X11	3644072	Candida albicans SC5314	"similar to S. cerevisiae ATG2 (YNL242W) Atg9-associated protein required for protein vacuolar targeting, autophagy and pexophagy, component of Atg1-Atg13 signaling complex(ATG2)"
Q03013	2948	Homo sapiens	glutathione S-transferase mu 4(GSTM4)
P11464	5669	Homo sapiens	pregnancy specific beta-1-glycoprotein 1(PSG1)
O75533	23451	Homo sapiens	splicing factor 3b subunit 1(SF3B1)
Q13489	330	Homo sapiens	baculoviral IAP repeat containing 3(BIRC3)
Q6R8J2	406202	Danio rerio	heart development protein with EGF-like domains 1(heg1)
O01761	171990	Caenorhabditis elegans	Muscle M-line assembly protein unc-89(unc-89)
Q13492	8301	Homo sapiens	phosphatidylinositol binding clathrin assembly protein(PICALM)
P81067	16373	Mus musculus	Iroquois related homeobox 3(Irx3)
A6QLU6	528174	Bos taurus	adhesion G protein-coupled receptor D1(ADGRD1)
Q6LA55	2543405	Schizosaccharomyces pombe 972h-	conserved eukaryotic mitochondrial protein (predicted)(SPAC3H5.09c)
Q02789	12292	Mus musculus	"calcium channel, voltage-dependent, L type, alpha 1S subunit(Cacna1s)"
Q8NEV4	53904	Homo sapiens	myosin IIIA(MYO3A)
Q9HCM2	91584	Homo sapiens	plexin A4(PLXNA4)
